t,motFRTor,motRRTor,motFLTor,motRLTor,dx,q1,ddx
0.21,-1.004962179,-0.386648998,-0.385411942,0.716090254,0.003752779,-0.0000777,0.355664449
0.211,0.645054291,1.002252311,-0.211478977,-0.075117567,0.004156109,-0.0000893,0.403330655
0.212,1.02983949,0.104848204,-0.920632838,0.279103445,0.004750952,-0.000101013,0.594842309
0.213,0.064263251,1.174296143,-0.896568617,-0.291424381,0.005124565,-0.000113101,0.373613311
0.214,0.012562422,2.544246616,0.047228397,-1.774585942,0.0052951,-0.000125159,0.170534719
0.215,1.219615046,2.902644707,1.109566356,-1.333947794,0.005762691,-0.000136972,0.467591771
0.216,1.000120342,1.496606485,1.495037382,-1.06848174,0.006347491,-0.000149039,0.584799953
0.217,0.964852942,-0.102160246,-2.086664576,-0.848359279,0.006935582,-0.000160944,0.588090878
0.218,0.78082575,-1.470910341,-1.554373141,0.753128379,0.007359139,-0.000172963,0.423557051
0.219,0.511487856,-2.185808837,-0.681400168,1.991012214,0.007679904,-0.000184912,0.320764718
0.22,-0.361527045,-3.450072145,-0.364045046,2.567167742,0.007820148,-0.000196605,0.140243577
0.221,-0.94261188,-1.41335401,-0.481040887,1.123261942,0.008134351,-0.000208117,0.314203576
0.222,-1.022472313,-1.755357868,0.583083045,1.401810215,0.008440979,-0.000219039,0.306628013
0.223,-1.408350446,-3.247171248,0.680880904,1.645472793,0.008914664,-0.000229187,0.473684479
0.224,0.15240137,-2.783740734,0.580261018,1.004389353,0.009461983,-0.00023859,0.547319189
0.225,1.061476586,-2.186258999,-0.264198585,0.137016279,0.009878421,-0.000246781,0.416438248
0.226,2.578646615,-1.179349715,0.311905172,-0.125545745,0.010093184,-0.000253816,0.214763182
0.227,3.689156003,0.498312768,1.328736768,-0.444131243,0.010283603,-0.000260046,0.190419094
0.228,3.176486256,0.899759019,1.392263287,-1.770469045,0.01032338,-0.000265534,0.039776806
0.229,2.352718657,2.608235136,2.201826978,-2.404106622,0.010425824,-0.000270624,0.102443435
0.23,2.433603925,3.259527202,2.578610127,-3.508205057,0.010576622,-0.00027536,0.150798814
0.231,2.851370932,2.794904683,1.875852998,-2.748069315,0.010609862,-0.000279873,0.033239643
0.232,2.426060515,3.439901266,2.520854896,-3.478181543,0.010645303,-0.000284326,0.03544137
0.233,2.791684051,1.850020559,2.078060649,-1.292614512,0.010732187,-0.000288719,0.086883654
0.234,2.310876164,-0.088222792,2.133452967,-0.346432084,0.010910481,-0.000293181,0.178293807
0.235,1.11617268,-0.426811238,2.603578339,-0.155833081,0.011175261,-0.00029785,0.264779805
0.236,1.066531374,-1.099714997,0.689187991,0.396658839,0.011358214,-0.000302755,0.182953412
0.237,1.283658208,-1.451770781,-0.518279476,1.292314481,0.011596656,-0.000307579,0.238441933
0.238,0.385892201,-1.596861947,-0.368372198,1.935196477,0.011854514,-0.000312308,0.257857687
0.239,0.008929017,-2.14450312,0.817979311,2.243065061,0.011987544,-0.000316901,0.133030027
0.24,-0.051058395,-2.174185185,-0.680154614,2.360499264,0.012111,-0.000321289,0.123456613
0.241,-0.553477637,-1.883318807,-0.826433849,2.957500012,0.01220249,-0.000325409,0.091489701
0.242,-0.759842077,-2.046494684,-0.278031954,3.335216129,0.012224341,-0.000329185,0.021850839
0.243,-0.870429177,-2.368754502,-0.080807914,3.318597331,0.012261134,-0.000332574,0.036793513
0.244,-0.7574503,-2.035233042,0.542032818,2.287019341,0.012353247,-0.000335494,0.092112991
0.245,-0.583131795,-1.54436516,0.709448455,2.339996268,0.012536108,-0.000338044,0.182860402
0.246,-0.513292508,-1.606561427,0.357523361,1.889311473,0.012744791,-0.000340215,0.208682677
0.247,-0.285356126,-1.644333408,0.368515859,1.332659881,0.012932169,-0.000341917,0.187378898
0.248,-0.322269994,-1.118505077,-0.069982315,1.237732199,0.013138709,-0.000343202,0.206539613
0.249,-0.28268161,-1.110437829,-0.081217283,0.818503324,0.013312774,-0.000344005,0.17406539
0.25,-0.203740298,-0.997054026,0.325453337,0.617624018,0.013441378,-0.000344267,0.128603433
0.251,-0.551264036,-0.900398381,0.346049515,0.487645402,0.013514223,-0.00034399,0.072845459
0.252,-0.058506263,-0.327466331,0.463875141,0.510884718,0.013599113,-0.000343283,0.08488932
