t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor,servFRTor,servRRTor,servFLTor,servRLTor
0.04000000000000003,0.19888004642432167,0.21835463698702298,-1.4503443090381738e-05,1.6073760761323547e-14,-0.4022099999999933,-2.67868628842466e-14,2.200543056555948e-12,-9.80999999998261,-2.434367564920999e-11,0.0,0.0,1.0,6.814448786604043e-18,7.506818386551864e-18,-2.353115236736206e-17,1.3976745661653759e-12,-1.7819275439347578e-12,1.3673587166208277e-11,3.3868767118335052e-12,-8.397256598958438e-12,-7.51483409113796e-13,-3.0122618453831825e-12,-1.874036986304418e-11
0.04100000000000003,0.19888004642432164,0.21794261698702297,-1.4503443090369315e-05,-1.6251871479741068e-14,-0.41202000000000927,1.2422949587015098e-14,-3.232563224106461e-11,-9.810000000015972,3.92098124712617e-11,0.0,0.0,1.0,5.383652724539003e-18,2.7948116228128268e-18,-1.2835311318907516e-17,-1.269202782500267e-12,5.8678499470206896e-12,-1.0968341916330257e-11,1.9718825956711774e-12,-8.513316454419461e-12,-7.521977485367816e-13,1.5177567192745839e-12,1.7105924621880316e-11
0.04200000000000003,0.19888004642432164,0.21752078698702296,-1.4503443090374694e-05,1.3307025557162999e-14,-0.42183000000000787,-5.37926547189963e-15,2.9558897036904064e-11,-9.809999999998597,-1.780221505891473e-11,0.0,0.0,1.0,9.686332318151495e-20,-6.545019460614984e-19,-7.237386545572925e-18,9.233482507698924e-12,-5.6175143155711076e-12,4.076335757048424e-12,-5.187580729528953e-12,1.2992379106658164e-11,-7.321819643924508e-12,-1.1538263475249335e-12,3.1749035306726154e-12
0.04300000000000003,0.19888004642432167,0.21708914698702303,-1.450344309028146e-05,3.192083178260115e-14,-0.4316399999999209,9.323260164203208e-14,1.861380622543815e-11,-9.809999999913055,9.861186711393172e-11,0.0,0.0,1.0,1.3989236376838075e-17,-2.7234056910144318e-17,-8.796354769535974e-18,2.2027021690256045e-11,6.148651634903231e-13,-1.1702927940017007e-13,-2.584813008945963e-11,-1.4283861837720809e-11,5.057733889953952e-12,2.0601796543036235e-11,-3.166469680925503e-12
0.04400000000000003,0.19888004642432164,0.21664769698702296,-1.450344309037182e-05,-3.2044590320134626e-14,-0.4414500000000639,-9.036046180707562e-14,-6.396542210273577e-11,-9.810000000142981,-1.8359306344910768e-10,0.0,0.0,1.0,1.8182247411434163e-17,-3.900247340163953e-17,-2.7961066203865297e-18,-4.871580790672907e-11,5.8295821520223996e-12,5.0584411221861576e-12,5.5654412126970076e-11,1.2980663899661192e-11,-1.420229480737738e-12,-1.6995884473040735e-11,-1.9990690718996544e-11
0.04500000000000003,0.19888004642432164,0.21619643698702298,-1.4503443090357948e-05,5.759403590106231e-15,-0.4512599999999903,1.387347341239415e-14,3.7803993910240854e-11,-9.809999999926378,1.0423393521946977e-10,0.0,0.0,1.0,1.234215571549002e-17,-2.235294921314839e-17,-2.701556203947143e-18,1.677194156804587e-11,-5.8101878205936305e-12,-5.90145232320327e-12,-2.6977012657228728e-11,-1.1305647523727802e-11,8.060600346941324e-12,-6.917633978710696e-12,1.913864709977755e-11
0.046000000000000034,0.19888004642432167,0.21573536698702298,-1.4503443090289553e-05,1.6808498897346716e-14,-0.46107000000000903,6.839424254486826e-14,1.1049095307240484e-11,-9.810000000018748,5.452076913247412e-11,0.0,0.0,1.0,8.927016921515832e-18,-9.320436040464231e-18,-2.0978480335619888e-18,2.3200186491068596e-13,-1.4788568795269093e-12,4.887548782034372e-12,1.8745537461315603e-12,3.744269958251529e-11,-1.158355554150166e-11,8.568809503764462e-12,-5.2260062028851875e-12
0.047000000000000035,0.19888004642432164,0.21526448698702297,-1.4503443090365412e-05,-1.8648401625831672e-14,-0.4708800000000015,-7.585898264738642e-14,-3.5456900523178386e-11,-9.809999999992492,-1.4425322519225468e-10,0.0,0.0,1.0,1.2750742530883636e-18,-7.622060856867664e-18,3.347926169360594e-18,3.07485833729978e-12,7.707677070402302e-12,-3.969014638010005e-12,-5.242880261707802e-12,-3.907160490621106e-11,7.722427864742329e-12,-1.2722734520894899e-12,-9.633092644454646e-13
0.048000000000000036,0.19888004642432167,0.21478379698702296,-1.4503443090374716e-05,1.3959686829473875e-14,-0.4806899999999968,-9.30343773686149e-15,3.260808845530555e-11,-9.809999999995267,6.655554491052493e-11,0.0,0.0,1.0,3.284047717783799e-19,-3.298581327033305e-18,1.7031830013858127e-18,5.327989035398152e-12,-7.388472688382966e-12,1.4791335797271183e-12,8.00683643602675e-12,9.473946552944867e-12,-4.454840422420744e-12,4.930169593545348e-12,-2.8464843070405937e-12
0.04900000000000004,0.19888004642432164,0.21429329698702296,-1.4503443090350726e-05,-1.814642525230467e-14,-0.49049999999999955,2.3990286586284135e-14,-3.210611208177855e-11,-9.810000000002761,3.329372432314562e-11,0.0,0.0,1.0,2.4407136305701647e-18,-3.505363607576928e-18,-6.742901026890653e-19,-6.702530412366688e-12,7.48940913727972e-12,-1.9017776525970844e-14,-5.208706627021684e-12,7.725557079165422e-12,3.6338553165885467e-12,-7.112776757354481e-12,1.565433590168727e-11
