t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.03,0.5141570552417475,0.3428652566428791,0.2537374265260574,2.4288358999280106e-14,-0.30411,2.158494694562215e-14,-7.23E-12,-9.81,-2.74E-11,0,0,1,5.410138386996412e-17,1.12617373950643e-15,1.6695320162729842e-15,4.369284308342845e-12,1.6880573507372246e-12,-3.26E-13,2.212165918616184e-12
0.031,0.5141570552417475,0.3425513366428791,0.2537374265260574,2.3997764087230215e-15,-0.31392,-1.12E-14,-2.19E-11,-9.81,-3.28E-11,0,0,1,4.5265288233112744e-17,1.1175340211881258e-15,1.6736029185201676e-15,5.192458265917028e-11,9.740632365570478e-12,-2.28E-12,-2.38E-11
0.032,0.5141570552417476,0.3422276066428791,0.25373742652605735,5.808237823826629e-14,-0.32373,-5.22E-14,5.568260182954327e-11,-9.81,-4.09E-11,0,0,1,3.3590741375623945e-17,1.1059572409175076e-15,1.6529939015208826e-15,4.9019839778415104e-11,-7.85E-12,-7.60E-12,-4.09E-11
0.033,0.5141570552417476,0.34189406664287914,0.2537374265260574,1.794425760634156e-14,-0.33354,4.936176750426172e-14,-4.01E-11,-9.81,1.0153654011041865e-10,0,0,1,6.059364909392859e-18,1.046919454219611e-15,1.5994990313373151e-15,4.382936487989647e-11,8.284874830727541e-11,6.495507822057759e-12,1.5135595434726983e-11
0.034,0.5141570552417476,0.3415507166428791,0.2537374265260574,-4.28E-14,-0.34335,2.1033852823674057e-14,-6.08E-11,-9.81,-2.83E-11,0,0,1,4.8399851718339965e-18,1.024803867747375e-15,1.644144814522734e-15,-6.03E-12,-3.07E-11,1.2820221932172988e-11,-7.60E-13
0.035000000000000024,0.5141570552417475,0.3411975566428791,0.25373742652605746,-7.10E-14,-0.35316,5.754734701212586e-14,-2.82E-11,-9.81,3.65134941884518e-11,0,0,1,-1.89E-17,1.076438114260045e-15,1.6601495692536367e-15,-8.18E-11,-4.13E-11,-1.38E-11,1.0283888578606826e-11
0.036000000000000025,0.5141570552417476,0.34083458664287913,0.25373742652605746,9.871500715728261e-14,-0.36297,7.62364057154386e-15,1.6971682051192777e-10,-9.81,-4.99E-11,0,0,1,1.5494415266633837e-17,1.2113990157858675e-15,1.6914948493414825e-15,-5.96E-11,-3.17E-11,-1.90E-11,7.569564766571954e-11
0.037000000000000026,0.5141570552417476,0.3404618066428791,0.25373742652605746,-1.89E-15,-0.37278,-9.34E-15,-1.01E-10,-9.81,-1.70E-11,0,0,1,1.0680128470694213e-16,1.0027301030644828e-15,1.6727165517173077e-15,1.328215931572941e-10,5.578880353960687e-11,5.087181442732229e-11,-9.61E-11
0.038,0.5141570552417476,0.3400792166428791,0.2537374265260574,-1.36E-14,-0.38259,-2.94E-14,-1.17E-11,-9.81,-2.01E-11,0,0,1,5.22334370046344e-17,1.1043908767380483e-15,1.7047159028908182e-15,-1.73E-10,-2.26E-11,-4.68E-11,6.142991244471537e-11
0.039,0.5141570552417476,0.33968681664287914,0.2537374265260574,-7.92E-15,-0.3924,9.349979196889449e-15,5.640868951041429e-12,-9.81,3.879932176961434e-11,0,0,1,1.0184397219803935e-16,1.1478014753607883e-15,1.6587858651468451e-15,1.4511995460686131e-10,-2.00E-11,3.737457165514763e-13,-3.69E-11
0.04,0.5141570552417476,0.3392846066428792,0.2537374265260574,-7.92E-15,-0.40221,9.349644189720706e-15,-1.16E-16,-9.81,-3.35E-16,0,0,1,1.5145436972811944e-16,1.1912089673149471e-15,1.6128562092727488e-15,6.163430684453963e-17,-2.90E-17,-4.34E-17,-3.77E-18
0.041,0.5141570552417476,0.33887258664287917,0.2537374265260575,-3.67E-14,-0.41202,8.564966907989777e-14,-2.88E-11,-9.81,7.630002489017707e-11,0,0,1,2.476117005095035e-17,1.1861201789376893e-15,1.7281640188455986e-15,-2.60E-11,4.269781597024391e-11,-2.16E-12,-4.45E-12
0.042,0.5141570552417475,0.33845075664287916,0.25373742652605746,-7.69E-14,-0.42183,-7.44E-14,-4.01E-11,-9.81,-1.60E-10,0,0,1,1.099731016228836e-16,1.1417761569099708e-15,1.6584087634171953e-15,-5.12E-11,2.7994333387995796e-11,4.3626947596629405e-11,6.433267624183338e-11
0.043,0.5141570552417475,0.33801911664287915,0.25373742652605746,2.5887029703027988e-14,-0.43164,-2.49E-14,1.0274682727232035e-10,-9.81,4.947265623166956e-11,0,0,1,5.1568760583393103e-17,1.1108159011932731e-15,1.690822784608e-15,7.752478784968166e-11,-5.13E-11,-2.32E-11,-9.52E-11
0.044,0.5141570552417475,0.33757766664287914,0.25373742652605746,1.1304860092162636e-14,-0.44145,9.967894524496521e-15,-1.46E-11,-9.81,3.490751975753389e-11,0,0,1,6.114890639492711e-17,1.086416503177742e-15,1.7143979214127083e-15,-6.42E-11,2.377093009823696e-12,-3.40E-12,8.696949596434755e-11
0.045,0.5141570552417475,0.33712640664287913,0.25373742652605746,-1.09E-14,-0.45126,2.1660663267722093e-14,-2.22E-11,-9.81,1.1692768743225573e-11,0,0,1,8.364722185767141e-17,1.0627549954747204e-15,1.7275540032944047e-15,1.21401596766242e-11,7.853748298637e-12,-2.90E-13,-2.80E-11
0.046000000000000034,0.5141570552417475,0.3366653366428791,0.25373742652605746,-7.29E-15,-0.46107,-1.73E-14,3.6088996907246593e-12,-9.81,-3.89E-11,0,0,1,7.810636757692622e-17,1.016041581213655e-15,1.6764013953454362e-15,-5.55E-12,3.540409562415487e-11,-2.57E-11,-1.74E-11
