t,x,y,z,dx,dy,dz,ddx,ddy,ddz,speed_set,steering_set,q0,q1,q2,q3,motFRTor,motRRTor,motFLTor,motRLTor
0.03100000000000002,0.5141570552417475,0.3425513366428791,0.2537374265260574,2.3997764087230215e-15,-0.3139199999999842,-1.1237822166677063e-14,-2.1888582590557085e-11,-9.80999999998,-3.2822769112299215e-11,0.0,0.0,1.0,4.5265288233112744e-17,1.1175340211881258e-15,1.6736029185201676e-15,5.192458265917028e-11,9.740632365570478e-12,-2.2815023343769332e-12,-2.3848311599589785e-11
0.03200000000000002,0.5141570552417476,0.3422276066428791,0.25373742652605735,5.808237823826629e-14,-0.32373000000000524,-5.2174772606156926e-14,5.568260182954327e-11,-9.810000000021024,-4.0936950439479864e-11,0.0,0.0,1.0,3.3590741375623945e-17,1.1059572409175076e-15,1.6529939015208826e-15,4.9019839778415104e-11,-7.853290536829752e-12,-7.601836167118527e-12,-4.093787648780874e-11
0.03300000000000002,0.5141570552417476,0.34189406664287914,0.2537374265260574,1.794425760634156e-14,-0.3335399999999885,4.936176750426172e-14,-4.013812063192473e-11,-9.809999999983276,1.0153654011041865e-10,0.0,0.0,1.0,6.059364909392859e-18,1.046919454219611e-15,1.5994990313373151e-15,4.382936487989647e-11,8.284874830727541e-11,6.495507822057759e-12,1.5135595434726983e-11
0.03400000000000002,0.5141570552417476,0.3415507166428791,0.2537374265260574,-4.282023050679233e-14,-0.3433500000000446,2.1033852823674057e-14,-6.076448811313389e-11,-9.810000000056107,-2.8327914680587663e-11,0.0,0.0,1.0,4.8399851718339965e-18,1.024803867747375e-15,1.644144814522734e-15,-6.026354942724283e-12,-3.0670810652150654e-11,1.2820221932172988e-11,-7.599215368306826e-13
0.035000000000000024,0.5141570552417475,0.3411975566428791,0.25373742652605746,-7.100181335464516e-14,-0.35316000000001485,5.754734701212586e-14,-2.818158284785283e-11,-9.80999999997023,3.65134941884518e-11,0.0,0.0,1.0,-1.8921678334304567e-17,1.076438114260045e-15,1.6601495692536367e-15,-8.175770075653285e-11,-4.126810987994911e-11,-1.3785786342222356e-11,1.0283888578606826e-11
0.036000000000000025,0.5141570552417476,0.34083458664287913,0.25373742652605746,9.871500715728261e-14,-0.3629699999999588,7.62364057154386e-15,1.6971682051192777e-10,-9.809999999943974,-4.9923706440582e-11,0.0,0.0,1.0,1.5494415266633837e-17,1.2113990157858675e-15,1.6914948493414825e-15,-5.963191432703858e-11,-3.173677644992323e-11,-1.9010186073166337e-11,7.569564766571954e-11
0.037000000000000026,0.5141570552417476,0.3404618066428791,0.25373742652605746,-1.8870274195855655e-15,-0.3727800000000028,-9.34298609842367e-15,-1.0060203457686818e-10,-9.81000000004395,-1.696662666996753e-11,0.0,0.0,1.0,1.0680128470694213e-16,1.0027301030644828e-15,1.6727165517173077e-15,1.328215931572941e-10,5.578880353960687e-11,5.087181442732229e-11,-9.607533192952388e-11
0.03800000000000003,0.5141570552417476,0.3400792166428791,0.2537374265260574,-1.3555922498785493e-14,-0.38259000000000587,-2.944934257272489e-14,-1.1668895079199927e-11,-9.810000000003093,-2.010635647430122e-11,0.0,0.0,1.0,5.22334370046344e-17,1.1043908767380483e-15,1.7047159028908182e-15,-1.732122349800155e-10,-2.2590470044259103e-11,-4.681931515959924e-11,6.142991244471537e-11
0.03900000000000003,0.5141570552417476,0.33968681664287914,0.2537374265260574,-7.915053547744065e-15,-0.392399999999963,9.349979196889449e-15,5.640868951041429e-12,-9.809999999957132,3.879932176961434e-11,0.0,0.0,1.0,1.0184397219803935e-16,1.1478014753607883e-15,1.6587858651468451e-15,1.4511995460686131e-10,-2.0019812098197613e-11,3.737457165514763e-13,-3.690494342469027e-11
0.04000000000000003,0.5141570552417476,0.3392846066428792,0.2537374265260574,-7.915169530936477e-15,-0.402209999999963,9.349644189720706e-15,-1.1598319241242755e-16,-9.809999999999985,-3.350071687431391e-16,0.0,0.0,1.0,1.5145436972811944e-16,1.1912089673149471e-15,1.6128562092727488e-15,6.163430684453963e-17,-2.90446487438163e-17,-4.3440787762871765e-17,-3.7696060372815915e-18
0.04100000000000003,0.5141570552417476,0.33887258664287917,0.2537374265260575,-3.673408871152399e-14,-0.41202000000003725,8.564966907989777e-14,-2.8818919180587512e-11,-9.81000000007426,7.630002489017707e-11,0.0,0.0,1.0,2.476117005095035e-17,1.1861201789376893e-15,1.7281640188455986e-15,-2.5971420572296517e-11,4.269781597024391e-11,-2.162254625537865e-12,-4.4542390254385286e-12
0.04200000000000003,0.5141570552417475,0.33845075664287916,0.25373742652605746,-7.685979756929237e-14,-0.4218300000000297,-7.441228146470692e-14,-4.012570885776838e-11,-9.809999999992435,-1.600619505446047e-10,0.0,0.0,1.0,1.099731016228836e-16,1.1417761569099708e-15,1.6584087634171953e-15,-5.122166520706627e-11,2.7994333387995796e-11,4.3626947596629405e-11,6.433267624183338e-11
